customer_id,total_orders,total_spend,average_order_value,first_purchase,last_purchase,total_returns,avg_discount_pct,discount_orders,distinct_categories,days_since_last_purchase,customer_span_days,purchase_frequency,return_rate,discount_usage_rate,favorite_category,avg_review_rating,n_reviews,site_visits_last_90d,avg_pages_per_visit,signup_date,region,acquisition_channel,age,primary_category,customer_tenure_days,customer_lifetime_value,will_purchase_next_60d,churned,churn_probability,predicted_churn,is_test_set
100019,1.0,1149.15,1149.15,2025-06-06,2025-06-06,0.0,10.0,1.0,1.0,26.0,1.0,30.0,0.0,1.0,Grocery,4.037037037037037,0.0,18.0,4.0,2025-04-06,Central,Direct,44,Grocery,87,4821.146551724139,1,0,0.37364176036898533,0,0
100020,6.0,5127.68,854.6133333333333,2025-01-05,2025-04-19,1.0,7.5,3.0,2.0,74.0,104.0,1.7307692307692306,0.1666666666666666,0.5,Sports & Outdoors,3.65,4.0,8.0,6.666666666666667,2024-12-28,West,Organic Search,39,Sports & Outdoors,186,10062.382795698926,0,1,0.7079703160443833,1,0
100021,17.0,23678.43,1392.8488235294117,2024-06-01,2025-06-26,2.0,5.0,9.0,6.0,6.0,390.0,1.3076923076923077,0.1176470588235294,0.5294117647058824,Fashion,4.6125,8.0,19.0,3.0,2024-05-15,South,Paid Ads,49,Fashion,413,20926.457506053262,1,0,0.19504660840971608,0,0
100022,25.0,30748.38,1229.9352,2023-06-27,2025-06-06,1.0,6.4,11.0,6.0,26.0,710.0,1.056338028169014,0.04,0.44,Sports & Outdoors,4.233333333333333,15.0,27.0,6.333333333333333,2023-06-27,South,Direct,29,Sports & Outdoors,736,15248.856929347823,1,0,0.15761342573071835,0,1
100023,19.0,24153.19,1271.2205263157894,2023-10-19,2025-06-13,2.0,5.2631578947368425,9.0,4.0,19.0,603.0,0.945273631840796,0.1052631578947368,0.4736842105263157,Sports & Outdoors,4.3100000000000005,10.0,13.0,6.333333333333333,2023-09-28,East,Organic Search,46,Sports & Outdoors,643,13710.597744945568,1,0,0.37768224107558285,0,0
100024,8.0,7818.450000000001,977.30625,2024-05-13,2025-03-28,3.0,11.25,5.0,3.0,96.0,319.0,0.7523510971786834,0.375,0.625,Fashion,3.98,5.0,4.0,7.333333333333333,2024-03-12,East,Organic Search,57,Fashion,477,5982.671383647798,1,0,0.6038662397492829,1,0
100025,2.0,901.15,450.5750000000001,2025-06-18,2025-06-27,0.0,0.0,0.0,1.0,5.0,9.0,6.666666666666667,0.0,0.0,Grocery,3.55,2.0,12.0,7.5,2025-05-18,South,Direct,35,Grocery,45,7309.327777777778,1,0,0.49403823021194027,0,1
100026,7.0,15197.87,2171.1242857142856,2024-11-27,2025-06-27,0.0,5.0,2.0,4.0,5.0,212.0,0.9905660377358492,0.0,0.2857142857142857,Fashion,3.38,5.0,13.0,6.333333333333333,2024-11-11,South,Email,40,Fashion,233,23807.82210300429,0,1,0.5940703237676602,1,0
100027,6.0,5992.799999999999,998.7999999999998,2024-10-01,2025-05-07,0.0,5.833333333333333,3.0,4.0,56.0,218.0,0.8256880733944955,0.0,0.5,Toys & Games,3.5500000000000003,6.0,8.0,6.666666666666667,2024-09-18,Central,Organic Search,24,Toys & Games,287,7621.5052264808355,0,1,0.7014214951020423,1,1
100028,3.0,7022.889999999999,2340.963333333333,2025-02-14,2025-05-05,0.0,0.0,0.0,1.0,58.0,80.0,1.125,0.0,0.0,Home & Kitchen,3.95,2.0,22.0,2.6666666666666665,2025-02-10,West,Social Media,44,Home & Kitchen,142,18051.79471830986,1,0,0.2846484844558363,0,0
100029,2.0,1664.4,832.2,2025-06-15,2025-06-19,0.0,0.0,0.0,1.0,13.0,4.0,15.0,0.0,0.0,Grocery,3.9,1.0,11.0,8.0,2025-06-14,North,Organic Search,47,Electronics,18,33750.333333333336,1,0,0.33660455711040926,0,1
100030,16.0,9272.01,579.500625,2024-06-02,2025-06-29,0.0,5.3125,7.0,5.0,3.0,392.0,1.2244897959183674,0.0,0.4375,Books,3.914285714285714,7.0,33.0,6.0,2024-04-28,West,Organic Search,29,Books,430,7870.427093023256,1,0,0.19433466106141414,0,0
100031,15.0,18582.19,1238.8126666666665,2023-09-27,2024-12-28,1.0,3.333333333333333,3.0,5.0,186.0,458.0,0.982532751091703,0.0666666666666666,0.2,Beauty & Personal Care,3.9,6.0,8.0,6.0,2023-09-13,North,Social Media,41,Beauty & Personal Care,658,10307.749772036474,0,1,0.7810679830413353,1,0
100032,5.0,3373.63,674.726,2024-12-08,2025-06-26,1.0,16.0,5.0,4.0,6.0,200.0,0.75,0.2,1.0,Beauty & Personal Care,3.4333333333333336,3.0,6.0,4.666666666666667,2024-10-09,East,Organic Search,38,Sports & Outdoors,266,4629.229135338345,0,1,0.6771736788272363,1,1
100033,10.0,14148.78,1414.8780000000002,2023-12-19,2025-04-19,0.0,1.5,2.0,4.0,74.0,487.0,0.6160164271047227,0.0,0.2,Fashion,4.8,4.0,15.0,4.333333333333333,2023-07-04,North,Paid Ads,39,Fashion,729,7084.094238683128,1,0,0.4758043421142535,0,0
100035,3.0,3681.67,1227.2233333333334,2025-04-03,2025-06-25,1.0,8.333333333333334,1.0,1.0,7.0,83.0,1.0843373493975903,0.3333333333333333,0.3333333333333333,Fashion,4.5,2.0,18.0,5.333333333333333,2025-02-20,North,Direct,40,Fashion,132,10180.375378787878,1,0,0.27739503364658086,0,0
100036,11.0,15350.8,1395.5272727272727,2024-06-01,2025-05-31,0.0,1.3636363636363635,2.0,4.0,32.0,364.0,0.9065934065934066,0.0,0.1818181818181818,Home & Kitchen,4.233333333333333,9.0,24.0,3.333333333333333,2024-05-06,South,Social Media,33,Home & Kitchen,422,13277.350710900471,1,0,0.2817128907517162,0,0
100037,6.0,11950.16,1991.6933333333332,2024-11-02,2025-03-10,1.0,4.166666666666667,2.0,3.0,114.0,128.0,1.40625,0.1666666666666666,0.3333333333333333,Electronics,3.1,4.0,10.0,7.333333333333333,2024-10-30,North,Organic Search,44,Electronics,245,17803.299591836734,0,1,0.7478541107877723,1,0
100038,17.0,13618.05,801.0617647058823,2023-10-29,2025-03-21,2.0,5.588235294117647,7.0,6.0,103.0,509.0,1.00196463654224,0.1176470588235294,0.4117647058823529,Books,4.285714285714286,7.0,27.0,3.333333333333333,2023-10-22,North,Direct,47,Books,619,8030.029483037157,1,0,0.33647356260518757,0,0
100039,6.0,3102.63,517.105,2024-02-06,2025-05-26,1.0,5.0,2.0,2.0,37.0,475.0,0.3789473684210526,0.1666666666666666,0.3333333333333333,Beauty & Personal Care,4.233333333333333,6.0,8.0,4.333333333333333,2024-01-04,North,Email,28,Beauty & Personal Care,545,2077.9081651376146,0,1,0.6922843859471434,1,1
100040,7.0,6848.889999999999,978.4128571428572,2024-12-19,2025-05-21,0.0,5.0,4.0,4.0,42.0,153.0,1.3725490196078431,0.0,0.5714285714285714,Fashion,3.8333333333333335,3.0,18.0,5.333333333333333,2024-10-13,East,Organic Search,34,Fashion,262,9541.392557251907,1,0,0.3534318596113867,0,0
100041,6.0,12457.36,2076.226666666667,2025-05-22,2025-06-20,0.0,2.5,1.0,3.0,12.0,29.0,6.206896551724138,0.0,0.1666666666666666,Sports & Outdoors,3.9,1.0,21.0,5.666666666666667,2025-04-10,Central,Direct,18,Sports & Outdoors,83,54782.36626506024,0,1,0.3995734508144323,0,0
100042,3.0,1184.32,394.7733333333333,2025-01-25,2025-05-08,0.0,3.333333333333333,1.0,1.0,55.0,103.0,0.8737864077669903,0.0,0.3333333333333333,Books,3.3,2.0,10.0,6.0,2024-11-10,South,Organic Search,41,Books,234,1847.336752136752,1,0,0.66020600044328,1,0
100043,5.0,6595.74,1319.148,2024-03-21,2025-03-12,0.0,15.0,3.0,2.0,112.0,356.0,0.4213483146067415,0.0,0.6,Beauty & Personal Care,3.1,3.0,10.0,4.666666666666667,2023-12-25,West,Paid Ads,48,Beauty & Personal Care,555,4337.738918918919,0,1,0.838685992791961,1,0
100044,10.0,13099.72,1309.972,2024-03-12,2025-06-13,0.0,8.5,6.0,2.0,19.0,458.0,0.6550218340611353,0.0,0.6,Sports & Outdoors,3.64,5.0,8.0,5.333333333333333,2023-10-04,East,Paid Ads,32,Sports & Outdoors,637,7506.118995290423,1,0,0.6499350538481871,1,0
100045,5.0,3922.89,784.578,2024-11-09,2025-06-19,0.0,1.0,1.0,3.0,13.0,222.0,0.6756756756756757,0.0,0.2,Beauty & Personal Care,3.7,2.0,21.0,3.333333333333333,2024-10-29,South,Organic Search,36,Beauty & Personal Care,246,5820.548170731707,0,1,0.3313654700196013,0,1
100046,1.0,3193.61,3193.61,2025-06-24,2025-06-24,0.0,0.0,0.0,1.0,8.0,1.0,30.0,0.0,0.0,Electronics,4.037037037037037,0.0,7.0,8.0,2025-06-15,North,Referral,32,Electronics,17,68568.68529411765,1,0,0.2683076504538777,0,0
100048,9.0,11107.67,1234.1855555555555,2024-02-07,2025-04-17,2.0,3.333333333333333,3.0,2.0,76.0,435.0,0.6206896551724138,0.2222222222222222,0.3333333333333333,Fashion,3.5285714285714285,7.0,10.0,5.333333333333333,2024-01-28,North,Direct,37,Fashion,521,7781.764971209213,0,1,0.8184632207586487,1,0
100049,3.0,1749.66,583.22,2025-03-25,2025-05-27,0.0,10.0,1.0,2.0,36.0,63.0,1.4285714285714286,0.0,0.3333333333333333,Sports & Outdoors,3.4000000000000004,2.0,13.0,5.0,2024-10-17,East,Organic Search,26,Sports & Outdoors,258,2475.294186046512,0,1,0.6853822887751604,1,1
100050,15.0,8760.86,584.0573333333334,2024-10-17,2025-05-29,0.0,2.6666666666666665,5.0,4.0,34.0,224.0,2.008928571428571,0.0,0.3333333333333333,Books,4.8,8.0,25.0,6.0,2024-10-11,North,Organic Search,32,Books,264,12112.552651515152,1,0,0.19273398118561247,0,0
100051,4.0,4463.01,1115.7525,2025-04-17,2025-06-28,0.0,7.5,3.0,2.0,4.0,72.0,1.6666666666666667,0.0,0.75,Beauty & Personal Care,4.133333333333334,3.0,29.0,4.0,2025-02-23,West,Paid Ads,25,Beauty & Personal Care,129,12627.896511627909,0,1,0.2824152010746442,0,0
100052,7.0,10286.14,1469.4485714285713,2025-03-15,2025-05-29,0.0,0.7142857142857143,1.0,3.0,34.0,75.0,2.8,0.0,0.1428571428571428,Beauty & Personal Care,3.7,3.0,31.0,7.333333333333333,2025-02-26,Central,Organic Search,41,Beauty & Personal Care,126,29797.15158730159,1,0,0.2625857527397435,0,0
100053,19.0,16161.32,850.5957894736842,2023-07-23,2025-06-16,4.0,11.052631578947368,15.0,5.0,16.0,694.0,0.8213256484149856,0.2105263157894736,0.7894736842105263,Fashion,3.78,10.0,21.0,3.333333333333333,2023-07-12,South,Direct,37,Fashion,721,8181.528155339806,1,0,0.367808222166019,0,0
100054,8.0,10759.43,1344.92875,2024-04-16,2025-06-25,0.0,3.75,2.0,3.0,7.0,435.0,0.5517241379310345,0.0,0.25,Books,3.414285714285714,7.0,7.0,6.666666666666667,2024-01-13,South,Referral,30,Books,536,7326.850652985075,0,1,0.7476786455951782,1,0
100055,6.0,8219.64,1369.9399999999998,2024-12-28,2025-04-05,0.0,8.333333333333334,4.0,1.0,88.0,98.0,1.836734693877551,0.0,0.6666666666666666,Sports & Outdoors,3.675,4.0,11.0,5.666666666666667,2024-12-12,East,Email,35,Sports & Outdoors,202,14852.319801980197,0,1,0.6849641391434566,1,0
100056,15.0,21857.56,1457.1706666666666,2024-07-17,2025-06-15,0.0,6.333333333333333,8.0,4.0,17.0,333.0,1.351351351351351,0.0,0.5333333333333333,Home & Kitchen,4.26,5.0,32.0,4.0,2024-05-31,East,Referral,32,Home & Kitchen,397,20095.74156171285,1,0,0.16495035524834467,0,1
100057,7.0,5105.4,729.342857142857,2024-07-20,2025-06-12,0.0,7.857142857142857,4.0,5.0,20.0,327.0,0.6422018348623852,0.0,0.5714285714285714,Books,3.78,5.0,12.0,6.666666666666667,2024-04-02,South,Organic Search,47,Fashion,456,4086.559210526316,1,0,0.502887583558856,1,1
100058,40.0,37849.64,946.241,2023-01-11,2025-06-30,2.0,3.875,10.0,8.0,2.0,901.0,1.3318534961154271,0.05,0.25,Toys & Games,3.963636363636364,22.0,32.0,6.333333333333333,2023-01-01,South,Organic Search,30,Toys & Games,913,15131.564731653889,1,0,0.1417318009594629,0,1
100059,2.0,2677.76,1338.88,2025-06-02,2025-06-28,1.0,5.0,1.0,1.0,4.0,26.0,2.3076923076923075,0.5,0.5,Sports & Outdoors,4.6,1.0,23.0,6.333333333333333,2025-03-12,North,Paid Ads,41,Sports & Outdoors,112,8726.628571428573,1,0,0.24443126360081727,0,0
100060,3.0,9174.97,3058.3233333333333,2024-10-05,2025-06-07,0.0,1.6666666666666667,1.0,1.0,25.0,245.0,0.3673469387755102,0.0,0.3333333333333333,Electronics,3.1,2.0,8.0,2.0,2024-04-07,South,Email,27,Electronics,451,7425.419179600887,0,1,0.7462869509255932,1,0
100061,9.0,8033.799999999999,892.6444444444444,2023-07-21,2024-04-08,0.0,5.555555555555555,5.0,3.0,450.0,262.0,1.0305343511450382,0.0,0.5555555555555556,Fashion,3.75,2.0,9.0,4.666666666666667,2023-07-15,East,Paid Ads,43,Fashion,718,4084.034818941504,1,0,0.8276028014255352,1,1
100062,13.0,20493.47,1576.420769230769,2023-02-08,2024-12-17,1.0,4.615384615384615,7.0,5.0,197.0,678.0,0.5752212389380531,0.0769230769230769,0.5384615384615384,Grocery,3.35,6.0,11.0,9.0,2023-01-01,West,Organic Search,46,Grocery,913,8192.89874041621,0,1,0.8159678959196479,1,0
100063,10.0,15821.03,1582.103,2024-12-26,2025-06-05,0.0,3.0,4.0,2.0,27.0,161.0,1.863354037267081,0.0,0.4,Sports & Outdoors,4.04,5.0,29.0,4.0,2024-12-22,West,Referral,46,Sports & Outdoors,192,30076.437239583334,1,0,0.2634908317503173,0,0
100064,3.0,4350.54,1450.18,2025-01-02,2025-04-12,0.0,10.0,2.0,1.0,81.0,100.0,0.8999999999999999,0.0,0.6666666666666666,Fashion,2.8,1.0,10.0,6.666666666666667,2024-10-20,East,Organic Search,51,Fashion,255,6227.243529411765,0,1,0.7018222819316061,1,1
100065,12.0,23389.63,1949.1358333333333,2023-11-21,2025-05-05,1.0,2.5,2.0,4.0,58.0,531.0,0.6779661016949153,0.0833333333333333,0.1666666666666666,Home & Kitchen,3.6166666666666663,6.0,16.0,5.666666666666667,2023-10-18,West,Social Media,38,Home & Kitchen,623,13703.39478330658,1,0,0.5203303203039333,1,1
100067,2.0,2421.17,1210.585,2024-03-09,2024-03-17,0.0,7.5,1.0,2.0,472.0,8.0,7.5,0.0,0.5,Beauty & Personal Care,4.2,1.0,8.0,5.333333333333333,2024-03-02,South,Social Media,52,Beauty & Personal Care,487,1814.6345995893223,0,1,0.8480693166633935,1,0
100068,14.0,41804.88,2986.062857142857,2023-01-20,2024-06-20,2.0,10.714285714285714,9.0,5.0,377.0,517.0,0.8123791102514506,0.1428571428571428,0.6428571428571429,Electronics,3.8125,8.0,8.0,5.0,2023-01-01,South,Paid Ads,22,Electronics,913,16712.79430449069,1,0,0.6677858667034543,1,0
100069,11.0,14333.47,1303.0427272727272,2024-04-20,2025-06-16,1.0,2.272727272727273,2.0,5.0,16.0,422.0,0.7819905213270142,0.0909090909090909,0.1818181818181818,Fashion,4.190909090909091,11.0,18.0,7.333333333333333,2024-01-22,East,Direct,28,Fashion,527,9927.35588235294,1,0,0.4103747564199232,0,1
100072,6.0,8696.75,1449.4583333333333,2024-12-25,2025-05-26,0.0,5.0,3.0,5.0,37.0,152.0,1.1842105263157896,0.0,0.5,Fashion,4.3,4.0,15.0,7.666666666666667,2024-12-16,North,Email,18,Fashion,198,16031.887626262627,1,0,0.369345931282219,0,0
100073,4.0,2312.63,578.1575,2023-06-04,2025-03-15,0.0,12.5,3.0,3.0,109.0,650.0,0.1846153846153846,0.0,0.75,Grocery,2.566666666666667,3.0,5.0,5.666666666666667,2023-03-17,North,Email,18,Beauty & Personal Care,838,1007.291109785203,0,1,0.8685122904952496,1,0
100074,13.0,14025.51,1078.8853846153847,2024-10-14,2025-06-14,3.0,4.230769230769231,4.0,3.0,18.0,243.0,1.6049382716049383,0.2307692307692307,0.3076923076923077,Fashion,4.2,8.0,24.0,6.666666666666667,2024-08-14,East,Referral,22,Fashion,322,15898.481832298135,1,0,0.252285712553333,0,0
100075,4.0,7382.889999999999,1845.7225,2025-06-15,2025-06-27,1.0,11.25,3.0,2.0,5.0,12.0,10.0,0.25,0.75,Electronics,4.55,2.0,11.0,8.0,2025-06-13,North,Direct,18,Electronics,19,141829.20263157893,1,0,0.31730507082372733,0,0
100076,8.0,20764.52,2595.565,2024-10-16,2025-06-05,0.0,5.625,3.0,2.0,27.0,232.0,1.0344827586206895,0.0,0.375,Electronics,3.9166666666666665,6.0,11.0,4.666666666666667,2024-07-12,North,Email,37,Electronics,355,21349.43605633803,0,1,0.4331928596495465,0,1
100077,6.0,17681.68,2946.9466666666667,2024-08-17,2025-06-21,0.0,0.8333333333333334,1.0,3.0,11.0,308.0,0.5844155844155844,0.0,0.1666666666666666,Electronics,3.966666666666667,3.0,14.0,4.0,2024-05-10,South,Organic Search,23,Electronics,418,15439.744497607657,1,0,0.5055061874704672,1,1
100078,4.0,2917.0,729.25,2025-03-06,2025-05-08,0.0,8.75,2.0,1.0,55.0,63.0,1.9047619047619049,0.0,0.5,Beauty & Personal Care,3.6,2.0,10.0,4.333333333333333,2024-11-18,North,Paid Ads,18,Beauty & Personal Care,226,4711.08407079646,1,0,0.618816614539089,1,0
100079,4.0,5182.09,1295.5225,2025-03-17,2025-05-18,0.0,10.0,3.0,3.0,45.0,62.0,1.9354838709677415,0.0,0.75,Beauty & Personal Care,3.766666666666667,3.0,7.0,5.666666666666667,2025-03-01,South,Paid Ads,34,Beauty & Personal Care,123,15377.74674796748,1,0,0.4081530571714726,0,0
100080,10.0,9866.3,986.63,2023-01-31,2025-06-30,0.0,9.0,6.0,3.0,2.0,881.0,0.340522133938706,0.0,0.6,Fashion,3.85,4.0,11.0,7.0,2023-01-01,East,Social Media,35,Fashion,913,3944.3587075575024,0,1,0.6571874027504332,1,0
100081,12.0,14584.61,1215.3841666666667,2024-01-02,2025-05-14,1.0,4.583333333333333,4.0,5.0,49.0,498.0,0.7228915662650601,0.0833333333333333,0.3333333333333333,Toys & Games,3.772727272727273,11.0,8.0,4.333333333333333,2023-07-13,South,Direct,18,Toys & Games,720,7393.5870138888895,1,0,0.5849819722011381,1,0
100082,16.0,17687.02,1105.43875,2023-05-27,2025-01-29,1.0,10.0,13.0,6.0,154.0,613.0,0.7830342577487766,0.0625,0.8125,Home & Kitchen,3.5625,8.0,14.0,5.0,2023-05-27,Central,Social Media,27,Home & Kitchen,767,8416.900000000001,1,0,0.707813795397216,1,1
100083,12.0,12946.3,1078.8583333333331,2024-08-18,2025-06-29,2.0,5.416666666666667,6.0,5.0,3.0,315.0,1.1428571428571428,0.1666666666666666,0.5,Sports & Outdoors,3.828571428571428,7.0,20.0,5.0,2024-08-14,North,Paid Ads,34,Sports & Outdoors,322,14675.153726708077,1,0,0.2824881930045716,0,0
100084,4.0,2690.27,672.5675,2025-01-09,2025-05-26,0.0,0.0,0.0,2.0,37.0,137.0,0.8759124087591241,0.0,0.0,Beauty & Personal Care,4.037037037037037,0.0,17.0,5.0,2024-12-26,West,Direct,31,Beauty & Personal Care,188,5223.130585106383,1,0,0.3390619176580668,0,0
100085,7.0,9344.59,1334.9414285714286,2024-11-11,2025-05-29,0.0,2.857142857142857,1.0,3.0,34.0,199.0,1.0552763819095476,0.0,0.1428571428571428,Fashion,4.475,4.0,25.0,4.666666666666667,2024-11-07,East,Referral,31,Fashion,237,14391.45717299578,1,0,0.25351593872987555,0,0
100086,2.0,6319.23,3159.615,2025-05-02,2025-06-16,0.0,0.0,0.0,1.0,16.0,45.0,1.3333333333333333,0.0,0.0,Electronics,4.037037037037037,0.0,13.0,5.333333333333333,2025-04-23,West,Organic Search,47,Electronics,70,32950.27071428571,1,0,0.3271917557212721,0,0
100087,12.0,11892.02,991.0016666666668,2023-02-05,2025-03-29,3.0,2.083333333333333,3.0,5.0,95.0,783.0,0.4597701149425287,0.25,0.25,Fashion,3.1625,8.0,5.0,4.666666666666667,2023-01-01,West,Direct,58,Fashion,913,4754.20295728368,1,0,0.7397112539297194,1,0
100088,3.0,1035.59,345.19666666666666,2024-09-30,2024-10-23,0.0,6.666666666666667,1.0,1.0,252.0,23.0,3.913043478260869,0.0,0.3333333333333333,Books,3.8,1.0,13.0,5.333333333333333,2024-08-02,North,Paid Ads,31,Books,334,1131.7076347305388,0,1,0.755843859670237,1,0
100089,15.0,14963.4,997.56,2023-01-19,2025-02-17,3.0,8.333333333333334,14.0,4.0,135.0,760.0,0.5921052631578948,0.2,0.9333333333333332,Sports & Outdoors,3.6166666666666663,6.0,9.0,6.333333333333333,2023-01-01,West,Social Media,20,Sports & Outdoors,913,5982.082146768893,0,1,0.7969234202813225,1,0
100090,12.0,13427.15,1118.9291666666666,2024-10-29,2025-06-30,2.0,5.833333333333333,5.0,3.0,2.0,244.0,1.475409836065574,0.1666666666666666,0.4166666666666667,Fashion,3.9,6.0,23.0,4.666666666666667,2024-10-26,South,Paid Ads,32,Fashion,249,19682.36847389558,1,0,0.2606432846721002,0,0
