customer_id,signup_date,region,acquisition_channel,age,primary_category
100078,2024-11-18,North,Paid Ads,18,Beauty & Personal Care
100079,2025-03-01,South,Paid Ads,34,Beauty & Personal Care
100080,2023-01-01,East,Social Media,35,Fashion
100081,2023-07-13,South,Direct,18,Toys & Games
100082,2023-05-27,Central,Social Media,27,Home & Kitchen
100083,2024-08-14,North,Paid Ads,34,Sports & Outdoors
100084,2024-12-26,West,Direct,31,Beauty & Personal Care
100085,2024-11-07,East,Referral,31,Fashion
100086,2025-04-23,West,Organic Search,47,Electronics
100087,2023-01-01,West,Direct,58,Fashion
100088,2024-08-02,North,Paid Ads,31,Books
100089,2023-01-01,West,Social Media,20,Sports & Outdoors
100090,2024-10-26,South,Paid Ads,32,Fashion
100091,2024-01-16,West,Direct,37,Toys & Games
100092,2024-04-21,South,Organic Search,34,Grocery
100093,2025-05-06,South,Paid Ads,41,Fashion
100094,2023-01-01,West,Referral,59,Fashion
100095,2024-10-18,Central,Direct,18,Toys & Games
100096,2025-03-27,Central,Organic Search,29,Toys & Games
100097,2023-10-14,West,Organic Search,51,Home & Kitchen
100098,2024-06-26,East,Direct,29,Grocery
100099,2024-02-22,East,Email,43,Toys & Games
100100,2024-05-24,Central,Paid Ads,41,Grocery
100101,2025-07-17,South,Paid Ads,48,Books
100102,2025-02-05,Central,Paid Ads,56,Home & Kitchen
100103,2025-02-12,West,Referral,38,Beauty & Personal Care
100104,2023-06-04,West,Social Media,18,Sports & Outdoors
100105,2024-06-14,East,Email,27,Fashion
100106,2023-12-22,Central,Organic Search,59,Books
100107,2024-10-03,West,Email,19,Beauty & Personal Care
100108,2023-11-30,North,Organic Search,40,Beauty & Personal Care
100109,2024-08-13,West,Direct,18,Grocery
100110,2024-09-03,West,Organic Search,20,Toys & Games
100111,2024-04-23,Central,Organic Search,44,Fashion
100112,2024-05-24,Central,Organic Search,35,Sports & Outdoors
100113,2023-01-01,Central,Organic Search,30,Beauty & Personal Care
100114,2025-02-07,North,Paid Ads,26,Fashion
100115,2025-05-19,West,Referral,18,Books
100116,2024-03-01,Central,Direct,42,Books
100117,2025-01-12,Central,Social Media,31,Grocery
100118,2025-07-24,East,Social Media,18,Home & Kitchen
100119,2025-03-19,Central,Paid Ads,35,Grocery
100120,2023-01-01,Central,Email,41,Fashion
100121,2025-02-12,North,Organic Search,32,Home & Kitchen
100122,2025-06-22,Central,Paid Ads,36,Beauty & Personal Care
100123,2023-01-01,West,Organic Search,35,Beauty & Personal Care
100124,2025-03-25,East,Organic Search,27,Electronics
100125,2023-01-01,North,Social Media,35,Fashion
100126,2024-10-14,Central,Organic Search,43,Fashion
100127,2023-01-01,South,Organic Search,46,Toys & Games
100128,2024-09-09,East,Email,43,Toys & Games
100129,2024-01-13,South,Organic Search,27,Home & Kitchen
100130,2024-08-07,Central,Social Media,41,Sports & Outdoors
100131,2024-09-07,East,Paid Ads,40,Beauty & Personal Care
100132,2024-04-02,North,Direct,27,Home & Kitchen
100133,2023-12-29,North,Referral,29,Sports & Outdoors
100134,2024-05-01,Central,Organic Search,42,Toys & Games
100135,2024-06-06,South,Direct,50,Fashion
100136,2025-01-10,West,Paid Ads,18,Fashion
100137,2024-07-26,North,Paid Ads,53,Toys & Games
100138,2023-01-01,Central,Referral,47,Books
100139,2025-01-19,West,Referral,37,Fashion
100140,2024-03-22,South,Paid Ads,32,Electronics
100141,2023-01-06,Central,Paid Ads,39,Books
100142,2023-12-25,South,Organic Search,27,Beauty & Personal Care
100143,2023-05-29,Central,Social Media,33,Fashion
100144,2025-03-27,East,Direct,18,Books
100145,2024-03-21,East,Paid Ads,18,Electronics
100146,2024-09-23,North,Direct,60,Home & Kitchen
100147,2024-09-11,South,Organic Search,35,Fashion
100148,2023-01-01,North,Email,37,Grocery
100149,2024-09-07,Central,Direct,34,Fashion
100150,2024-03-09,North,Referral,25,Fashion
100151,2025-06-22,North,Organic Search,31,Sports & Outdoors
100152,2023-01-01,North,Paid Ads,36,Electronics
100153,2023-07-01,Central,Organic Search,32,Sports & Outdoors
100154,2024-07-14,Central,Social Media,26,Electronics
100155,2024-10-05,West,Direct,40,Electronics
100156,2023-11-11,North,Paid Ads,37,Home & Kitchen
100157,2023-01-14,East,Organic Search,39,Toys & Games
100158,2023-01-01,Central,Organic Search,42,Fashion
100159,2023-07-19,North,Social Media,33,Fashion
100160,2024-06-01,West,Social Media,33,Books
100161,2023-04-27,North,Organic Search,51,Grocery
100162,2023-08-10,Central,Email,24,Home & Kitchen
100163,2024-05-31,East,Organic Search,18,Home & Kitchen
100164,2023-08-25,Central,Social Media,41,Fashion
100165,2023-09-04,East,Paid Ads,28,Home & Kitchen
100166,2024-07-16,West,Organic Search,23,Electronics
100167,2024-11-23,Central,Referral,44,Electronics
100168,2023-10-17,South,Referral,33,Sports & Outdoors
100169,2025-03-10,West,Paid Ads,21,Home & Kitchen
100170,2025-04-14,East,Email,56,Sports & Outdoors
100171,2024-03-03,East,Social Media,18,Books
100172,2023-10-30,West,Paid Ads,34,Electronics
100173,2024-03-06,South,Direct,18,Beauty & Personal Care
100174,2024-01-22,North,Direct,37,Beauty & Personal Care
100175,2023-11-07,East,Organic Search,27,Electronics
100176,2023-01-01,Central,Direct,44,Toys & Games
100177,2023-07-09,North,Email,34,Sports & Outdoors
100178,2023-07-26,South,Organic Search,49,Grocery
100179,2024-04-02,West,Social Media,30,Beauty & Personal Care
100180,2024-03-19,East,Organic Search,18,Grocery
100181,2024-08-11,West,Social Media,37,Fashion
100182,2024-02-03,East,Direct,32,Grocery
100183,2025-03-18,Central,Paid Ads,18,Toys & Games
100184,2023-01-01,Central,Social Media,23,Electronics
100185,2025-02-01,East,Organic Search,26,Books
100186,2023-07-10,East,Social Media,52,Electronics
100187,2023-01-01,South,Email,42,Books
100188,2023-07-12,East,Organic Search,31,Grocery
100189,2023-01-01,Central,Social Media,40,Fashion
100190,2025-07-14,East,Paid Ads,18,Home & Kitchen
100191,2024-11-07,West,Referral,28,Electronics
100192,2023-01-01,East,Referral,39,Books
100193,2025-04-19,West,Referral,36,Electronics
100194,2025-01-26,West,Paid Ads,29,Toys & Games
100195,2023-12-06,East,Social Media,34,Fashion
100196,2024-06-06,Central,Referral,38,Fashion
100197,2024-01-03,Central,Referral,34,Toys & Games
100198,2024-05-07,North,Social Media,44,Books
100199,2024-04-04,South,Direct,38,Home & Kitchen
100200,2025-01-06,Central,Organic Search,40,Sports & Outdoors
100201,2024-04-16,East,Organic Search,53,Grocery
100202,2024-10-21,South,Direct,44,Sports & Outdoors
100203,2024-09-15,West,Organic Search,54,Fashion
100204,2023-07-18,West,Direct,27,Home & Kitchen
100205,2025-04-26,North,Social Media,18,Beauty & Personal Care
100206,2025-08-04,North,Direct,33,Beauty & Personal Care
100207,2023-08-26,Central,Social Media,32,Fashion
100208,2024-04-15,West,Email,51,Electronics
100209,2023-01-01,South,Referral,22,Home & Kitchen
100210,2025-01-21,Central,Social Media,34,Grocery
100211,2024-07-26,North,Paid Ads,39,Fashion
100212,2024-05-24,Central,Organic Search,36,Home & Kitchen
100213,2024-12-12,North,Organic Search,33,Fashion
100214,2025-02-14,West,Direct,38,Beauty & Personal Care
100215,2023-07-31,Central,Organic Search,46,Toys & Games
100216,2025-05-08,West,Email,51,Fashion
100217,2025-03-15,West,Social Media,35,Sports & Outdoors
100218,2024-08-06,South,Paid Ads,26,Books
100219,2023-05-29,South,Direct,51,Toys & Games
100220,2024-11-27,South,Organic Search,23,Electronics
100221,2024-12-26,North,Social Media,54,Grocery
100222,2024-08-24,South,Paid Ads,49,Sports & Outdoors
100223,2024-02-12,South,Organic Search,51,Grocery
100224,2024-10-07,West,Organic Search,42,Sports & Outdoors
100225,2023-03-16,South,Referral,18,Fashion
100226,2023-02-18,North,Organic Search,23,Home & Kitchen
100227,2024-08-06,West,Email,38,Electronics
100228,2023-01-01,East,Social Media,27,Electronics
100229,2024-05-31,South,Organic Search,31,Toys & Games
100230,2023-03-11,West,Paid Ads,41,Grocery
100231,2024-02-23,South,Organic Search,33,Electronics
100232,2024-03-02,West,Email,21,Home & Kitchen
100233,2025-06-04,North,Social Media,44,Fashion
100234,2025-03-28,East,Organic Search,40,Fashion
100235,2024-09-23,East,Social Media,32,Grocery
100236,2023-02-23,South,Social Media,42,Toys & Games
100237,2024-02-18,West,Referral,36,Home & Kitchen
100238,2024-09-21,South,Organic Search,49,Grocery
100239,2023-10-25,West,Organic Search,36,Fashion
100240,2023-03-18,South,Paid Ads,49,Sports & Outdoors
100241,2024-06-22,East,Referral,18,Electronics
100242,2024-04-06,West,Referral,40,Fashion
100243,2024-05-24,Central,Organic Search,30,Beauty & Personal Care
100244,2024-07-13,South,Organic Search,25,Electronics
100245,2025-01-23,East,Referral,47,Electronics
100246,2025-02-07,East,Organic Search,44,Fashion
100247,2023-10-28,Central,Social Media,18,Home & Kitchen
100248,2023-03-06,Central,Paid Ads,42,Fashion
100249,2024-09-21,West,Organic Search,41,Fashion
100250,2024-09-28,Central,Social Media,27,Fashion
100251,2025-06-29,North,Organic Search,25,Electronics
100252,2025-07-13,West,Social Media,18,Home & Kitchen
100253,2023-01-01,Central,Organic Search,31,Fashion
100254,2025-01-10,West,Paid Ads,33,Books
100255,2023-01-01,East,Social Media,43,Fashion
100256,2024-12-03,Central,Organic Search,37,Fashion
100257,2025-05-31,West,Social Media,23,Home & Kitchen
100258,2024-05-21,Central,Email,37,Electronics
100259,2023-08-06,North,Direct,32,Electronics
100260,2023-10-03,West,Organic Search,24,Sports & Outdoors
100261,2023-06-14,East,Organic Search,18,Fashion
100262,2025-03-02,Central,Paid Ads,41,Beauty & Personal Care
100263,2023-01-01,Central,Direct,39,Fashion
100264,2023-01-01,Central,Paid Ads,41,Fashion
100265,2023-01-01,South,Paid Ads,26,Electronics
100266,2024-03-24,East,Referral,36,Fashion
100267,2024-10-13,North,Organic Search,19,Beauty & Personal Care
100268,2024-11-05,Central,Social Media,24,Beauty & Personal Care
100269,2025-06-01,South,Paid Ads,35,Fashion
100270,2024-11-28,West,Social Media,37,Fashion
100271,2025-08-07,East,Referral,18,Fashion
100272,2025-06-15,Central,Paid Ads,23,Electronics
100273,2024-03-28,Central,Referral,30,Beauty & Personal Care
100274,2024-09-12,West,Social Media,45,Grocery
100275,2024-04-13,West,Organic Search,26,Beauty & Personal Care
100276,2023-09-15,North,Direct,36,Electronics
100277,2024-02-03,Central,Email,37,Fashion
100278,2024-03-09,North,Direct,32,Home & Kitchen
100279,2024-07-23,East,Referral,37,Grocery
100280,2025-01-17,South,Organic Search,20,Fashion
100281,2025-04-18,South,Paid Ads,27,Electronics
100282,2024-11-22,Central,Paid Ads,50,Beauty & Personal Care
100283,2024-07-17,South,Organic Search,51,Beauty & Personal Care
100284,2024-06-07,East,Paid Ads,44,Toys & Games
100285,2023-06-12,South,Paid Ads,47,Beauty & Personal Care
100286,2024-08-15,Central,Organic Search,18,Electronics
100287,2023-11-26,West,Email,24,Books
100288,2025-05-17,East,Organic Search,31,Fashion
100289,2024-03-22,North,Social Media,61,Grocery
100290,2024-04-18,North,Email,31,Home & Kitchen
100291,2023-01-01,South,Social Media,43,Grocery
100292,2024-09-12,East,Organic Search,39,Fashion
100293,2024-09-23,Central,Social Media,38,Beauty & Personal Care
100294,2023-09-11,North,Email,34,Books
100295,2025-04-07,East,Direct,21,Electronics
100296,2024-04-01,South,Paid Ads,18,Home & Kitchen
100297,2025-04-15,North,Organic Search,49,Books
100298,2023-01-01,West,Social Media,28,Beauty & Personal Care
100299,2024-10-29,West,Organic Search,18,Electronics
100300,2025-04-24,Central,Email,39,Electronics
100301,2024-11-23,East,Referral,39,Fashion
100302,2024-03-30,South,Email,43,Fashion
100303,2023-12-10,Central,Direct,47,Beauty & Personal Care
100304,2023-01-01,South,Social Media,24,Electronics
100305,2024-12-22,West,Direct,25,Fashion
100306,2023-08-19,Central,Referral,31,Fashion
100307,2025-06-14,North,Organic Search,44,Grocery
100308,2025-03-14,Central,Email,18,Fashion
100309,2025-05-14,South,Referral,36,Sports & Outdoors
100310,2025-01-28,East,Direct,45,Grocery
100311,2023-09-12,South,Organic Search,44,Books
100312,2024-12-16,North,Paid Ads,42,Electronics
100313,2024-11-03,West,Email,46,Sports & Outdoors
100314,2024-03-19,East,Organic Search,18,Grocery
100315,2023-12-29,East,Referral,52,Home & Kitchen
100316,2024-10-26,East,Social Media,38,Grocery
100317,2025-03-15,West,Organic Search,49,Books
100318,2023-01-01,Central,Organic Search,22,Sports & Outdoors
100319,2024-10-24,East,Email,18,Beauty & Personal Care
100320,2024-09-28,North,Organic Search,54,Home & Kitchen
100321,2024-08-24,South,Referral,24,Fashion
100322,2023-11-12,East,Referral,31,Sports & Outdoors
100323,2025-05-23,North,Referral,40,Grocery
100324,2023-01-01,South,Paid Ads,43,Fashion
100325,2024-10-06,South,Organic Search,46,Books
100326,2023-10-27,Central,Email,37,Sports & Outdoors
100327,2025-04-22,East,Organic Search,23,Fashion
100328,2024-04-28,Central,Paid Ads,42,Books
100329,2023-01-01,East,Direct,42,Fashion
100330,2023-01-01,East,Paid Ads,18,Fashion
100331,2023-11-09,Central,Organic Search,50,Fashion
100332,2025-02-10,West,Direct,18,Fashion
100333,2023-01-01,South,Organic Search,46,Home & Kitchen
100334,2025-06-15,South,Organic Search,28,Fashion
100335,2025-02-17,West,Paid Ads,42,Sports & Outdoors
100336,2024-07-21,North,Email,40,Grocery
100337,2025-06-07,North,Direct,34,Sports & Outdoors
100338,2024-11-24,North,Email,39,Beauty & Personal Care
100339,2023-08-09,West,Direct,34,Books
100340,2025-01-08,East,Organic Search,42,Grocery
100341,2023-07-15,North,Social Media,59,Beauty & Personal Care
100342,2023-01-01,West,Organic Search,20,Electronics
100343,2024-02-02,West,Direct,18,Fashion
100344,2023-07-24,West,Direct,30,Fashion
100345,2023-01-01,North,Paid Ads,29,Toys & Games
100346,2024-11-02,Central,Email,30,Sports & Outdoors
100347,2023-08-06,North,Referral,24,Home & Kitchen
100348,2024-11-08,East,Organic Search,44,Fashion
100349,2024-03-02,East,Social Media,19,Toys & Games
100350,2023-05-17,South,Direct,39,Sports & Outdoors
100351,2025-02-02,South,Paid Ads,42,Fashion
100352,2025-08-04,North,Organic Search,38,Home & Kitchen
100353,2025-02-19,East,Direct,40,Fashion
100354,2023-02-19,West,Paid Ads,45,Toys & Games
100355,2025-03-13,South,Paid Ads,35,Beauty & Personal Care
100356,2023-03-26,East,Referral,31,Electronics
100357,2025-02-19,Central,Social Media,40,Fashion
100358,2024-09-02,South,Paid Ads,41,Beauty & Personal Care
100359,2024-06-29,South,Organic Search,44,Beauty & Personal Care
100360,2025-03-14,North,Email,18,Fashion
100361,2024-08-30,East,Social Media,32,Books
100362,2025-06-01,South,Referral,23,Fashion
100363,2024-10-10,Central,Direct,41,Toys & Games
100364,2024-07-26,South,Organic Search,42,Grocery
100365,2025-08-01,West,Direct,31,Home & Kitchen
100366,2025-02-21,North,Email,26,Home & Kitchen
100367,2024-03-14,South,Direct,41,Fashion
100368,2025-04-01,North,Organic Search,33,Electronics
100369,2024-01-08,East,Paid Ads,50,Sports & Outdoors
100370,2023-11-26,North,Referral,54,Grocery
100371,2024-03-16,North,Direct,46,Home & Kitchen
100372,2023-08-12,East,Direct,37,Grocery
100373,2025-06-07,East,Paid Ads,55,Toys & Games
100374,2023-04-20,South,Social Media,37,Beauty & Personal Care
100375,2025-03-11,East,Organic Search,29,Fashion
100376,2024-05-21,East,Referral,27,Grocery
100377,2023-01-01,West,Email,27,Fashion
100378,2024-10-15,East,Email,34,Toys & Games
100379,2024-06-20,Central,Paid Ads,40,Fashion
100380,2025-03-10,South,Direct,19,Fashion
100381,2023-01-01,North,Organic Search,30,Electronics
100382,2025-02-21,East,Social Media,37,Fashion
100383,2023-10-16,North,Social Media,42,Beauty & Personal Care
100384,2023-01-01,West,Social Media,34,Home & Kitchen
100385,2023-08-30,South,Email,37,Beauty & Personal Care
100386,2024-02-20,South,Social Media,21,Home & Kitchen
100387,2024-05-26,East,Organic Search,24,Beauty & Personal Care
100388,2025-04-23,North,Organic Search,34,Beauty & Personal Care
100389,2023-01-01,South,Social Media,40,Toys & Games
100390,2024-03-25,Central,Referral,37,Grocery
100391,2024-06-20,West,Social Media,25,Fashion
100392,2025-03-24,East,Paid Ads,32,Home & Kitchen
100393,2024-06-04,East,Organic Search,51,Electronics
100394,2024-07-11,East,Email,40,Fashion
100395,2023-01-01,Central,Social Media,33,Fashion
100396,2024-06-20,Central,Social Media,23,Toys & Games
100397,2024-06-09,East,Paid Ads,27,Sports & Outdoors
100398,2025-03-22,Central,Organic Search,35,Grocery
100399,2025-01-15,North,Organic Search,38,Fashion
100400,2023-12-12,South,Organic Search,41,Grocery
100401,2025-06-25,South,Referral,39,Sports & Outdoors
100402,2023-04-24,West,Organic Search,30,Electronics
100403,2023-04-08,West,Paid Ads,29,Fashion
100404,2025-02-05,East,Direct,57,Sports & Outdoors
100405,2024-02-19,South,Paid Ads,28,Fashion
100406,2023-01-01,East,Social Media,20,Fashion
100407,2024-08-06,South,Paid Ads,18,Toys & Games
100408,2024-10-01,East,Paid Ads,31,Home & Kitchen
100409,2024-08-28,South,Organic Search,45,Fashion
100410,2024-03-26,Central,Direct,28,Fashion
100411,2024-12-20,West,Paid Ads,51,Beauty & Personal Care
100412,2024-10-24,North,Referral,34,Books
100413,2024-03-18,Central,Direct,47,Grocery
100414,2024-11-13,West,Organic Search,26,Books
100415,2025-04-05,South,Referral,26,Toys & Games
100416,2025-07-02,East,Organic Search,36,Beauty & Personal Care
100417,2024-06-14,North,Paid Ads,40,Home & Kitchen
100418,2023-01-01,North,Email,33,Sports & Outdoors
100419,2024-01-29,East,Organic Search,38,Fashion
100420,2025-03-30,West,Direct,41,Books
100421,2025-01-17,South,Social Media,19,Home & Kitchen
100422,2024-10-03,South,Paid Ads,31,Electronics
100423,2023-01-01,Central,Organic Search,29,Fashion
100424,2023-01-01,Central,Social Media,29,Books
100425,2023-01-01,East,Social Media,39,Toys & Games
100426,2024-05-10,North,Organic Search,29,Beauty & Personal Care
100427,2023-01-01,West,Social Media,18,Home & Kitchen
100428,2025-01-07,West,Organic Search,32,Grocery
100429,2024-10-13,Central,Direct,23,Fashion
100430,2023-06-08,Central,Paid Ads,40,Electronics
100431,2024-03-16,West,Social Media,43,Fashion
100432,2024-02-22,North,Email,18,Electronics
100433,2025-03-04,South,Referral,26,Home & Kitchen
100434,2024-07-13,West,Direct,38,Fashion
100435,2025-01-04,West,Direct,19,Fashion
100436,2025-05-03,East,Organic Search,43,Fashion
100437,2024-12-09,East,Paid Ads,46,Fashion
100438,2024-03-16,West,Referral,33,Beauty & Personal Care
100439,2023-09-07,East,Organic Search,26,Electronics
100440,2025-07-05,North,Referral,18,Beauty & Personal Care
100441,2024-06-28,Central,Organic Search,43,Books
100442,2024-07-28,South,Direct,57,Sports & Outdoors
100443,2024-04-05,South,Referral,54,Beauty & Personal Care
100444,2025-03-27,North,Social Media,32,Home & Kitchen
100445,2025-03-24,East,Paid Ads,22,Beauty & Personal Care
100446,2023-01-01,Central,Direct,44,Fashion
100447,2025-02-03,North,Referral,33,Electronics
100448,2024-10-25,South,Email,40,Beauty & Personal Care
100449,2024-09-29,North,Email,38,Grocery
100450,2024-12-31,North,Organic Search,36,Home & Kitchen
100451,2023-12-26,West,Organic Search,46,Fashion
100452,2024-02-01,South,Organic Search,46,Fashion
100453,2024-08-11,West,Referral,29,Electronics
100454,2024-12-18,East,Social Media,24,Toys & Games
100455,2024-09-04,West,Paid Ads,18,Fashion
100456,2024-05-31,North,Direct,31,Grocery
100457,2025-01-17,South,Organic Search,22,Toys & Games
100458,2023-11-23,East,Email,39,Home & Kitchen
100459,2023-04-28,North,Social Media,31,Home & Kitchen
100460,2023-01-01,East,Paid Ads,32,Fashion
100461,2023-01-01,East,Organic Search,43,Books
100462,2024-09-30,East,Referral,39,Fashion
100463,2024-05-14,East,Email,33,Fashion
100464,2024-08-17,West,Paid Ads,53,Fashion
100465,2024-08-18,West,Social Media,43,Home & Kitchen
100466,2024-09-06,North,Social Media,30,Electronics
100467,2024-06-22,West,Paid Ads,30,Beauty & Personal Care
100468,2023-01-21,Central,Social Media,43,Electronics
100469,2024-03-04,Central,Paid Ads,37,Sports & Outdoors
100470,2025-04-03,South,Direct,22,Home & Kitchen
100471,2023-05-23,West,Referral,44,Sports & Outdoors
100472,2024-04-10,Central,Organic Search,48,Electronics
100473,2023-12-21,South,Email,47,Beauty & Personal Care
100474,2024-03-12,Central,Paid Ads,51,Fashion
100475,2024-02-22,West,Direct,57,Beauty & Personal Care
100476,2024-02-04,West,Social Media,54,Home & Kitchen
100477,2025-06-18,West,Organic Search,38,Books
100478,2023-12-26,West,Referral,32,Electronics
100479,2025-01-08,Central,Organic Search,18,Grocery
100480,2024-11-14,Central,Direct,35,Home & Kitchen
100481,2024-06-25,East,Direct,40,Books
100482,2023-01-01,East,Referral,35,Fashion
100483,2025-03-08,West,Social Media,18,Sports & Outdoors
100484,2024-07-06,Central,Social Media,31,Toys & Games
100485,2024-09-12,South,Paid Ads,42,Toys & Games
100486,2023-05-31,South,Organic Search,23,Sports & Outdoors
100487,2024-09-20,West,Direct,36,Home & Kitchen
100488,2024-04-06,Central,Paid Ads,39,Fashion
100489,2025-03-08,Central,Paid Ads,47,Fashion
100490,2023-02-24,North,Organic Search,53,Sports & Outdoors
100491,2025-05-13,Central,Direct,30,Fashion
100492,2024-01-01,West,Direct,37,Fashion
100493,2024-04-03,North,Paid Ads,37,Fashion
100494,2024-02-07,North,Organic Search,42,Fashion
100495,2025-05-11,South,Email,40,Beauty & Personal Care
100496,2024-09-26,Central,Paid Ads,50,Books
100497,2023-06-27,West,Direct,18,Home & Kitchen
100498,2023-01-01,East,Direct,39,Home & Kitchen
100499,2024-07-30,West,Email,40,Grocery
100500,2023-08-17,East,Organic Search,32,Fashion
100501,2024-05-10,Central,Referral,18,Beauty & Personal Care
100502,2024-07-14,North,Direct,34,Beauty & Personal Care
100503,2024-10-27,South,Paid Ads,27,Home & Kitchen
100504,2024-06-23,South,Direct,53,Grocery
100505,2023-10-02,Central,Paid Ads,39,Electronics
100506,2023-08-23,East,Direct,26,Sports & Outdoors
100507,2025-04-17,West,Referral,18,Home & Kitchen
100508,2024-11-18,Central,Organic Search,41,Grocery
100509,2025-03-16,North,Paid Ads,42,Home & Kitchen
100510,2024-06-06,Central,Organic Search,32,Fashion
100511,2024-10-06,North,Paid Ads,41,Beauty & Personal Care
100512,2024-02-21,West,Direct,31,Toys & Games
100513,2024-01-24,West,Organic Search,46,Electronics
100514,2025-07-26,Central,Direct,45,Grocery
100515,2024-06-26,North,Organic Search,18,Beauty & Personal Care
100516,2023-01-08,Central,Referral,19,Grocery
100517,2024-11-18,West,Direct,57,Grocery
100518,2024-11-25,North,Referral,45,Electronics
100519,2023-04-29,East,Direct,21,Home & Kitchen
100520,2023-07-30,Central,Direct,18,Beauty & Personal Care
100521,2025-02-27,East,Referral,37,Grocery
100522,2023-09-19,South,Email,22,Fashion
100523,2025-01-19,South,Organic Search,31,Toys & Games
100524,2024-11-28,East,Paid Ads,34,Electronics
100525,2025-02-27,Central,Paid Ads,34,Beauty & Personal Care
100526,2025-04-18,West,Email,47,Books
100527,2024-05-17,West,Referral,55,Beauty & Personal Care
100528,2025-05-08,West,Social Media,29,Electronics
100529,2024-05-03,West,Direct,22,Home & Kitchen
100530,2024-05-14,East,Organic Search,39,Fashion
100531,2024-08-13,West,Direct,52,Beauty & Personal Care
100532,2024-11-07,South,Organic Search,30,Home & Kitchen
